category,bank_slug,subject,course_semester,unit,unit_title,topic,question,option_a,option_b,option_c,option_d,correct_answer,marks,difficulty,bloom_level,co_mapping,tags
CSE / IT Core,computer-organization-and-architecture,Computer Organization and Architecture,B.Tech CSE/IT,4,Memory Hierarchy,Memory Hierarchy,"Which description best matches ""Cache""?",A cache property describing how many locations can hold a given memory block.,Direct memory access that transfers data between I/O and memory with limited CPU intervention.,Small fast memory that stores recently or frequently used data.,A code representing each decimal digit separately in binary.,C,1,Easy,Remember,CO4,"preloaded,computer-organization-and-architecture,memory-hierarchy"
CSE / IT Core,computer-organization-and-architecture,Computer Organization and Architecture,B.Tech CSE/IT,4,Memory Hierarchy,Memory Hierarchy,"Which term is best described as: ""The tendency of programs to reuse data or access nearby addresses.""",Pipeline,Hazard,ALU,Locality,D,1,Medium,Understand,CO4,"preloaded,computer-organization-and-architecture,memory-hierarchy"
CSE / IT Core,computer-organization-and-architecture,Computer Organization and Architecture,B.Tech CSE/IT,4,Memory Hierarchy,Memory Hierarchy,"In Computer Organization and Architecture, what does ""Associativity""?",A cache property describing how many locations can hold a given memory block.,The processor component that performs arithmetic and logical operations.,The tendency of programs to reuse data or access nearby addresses.,A code representing each decimal digit separately in binary.,A,1,Hard,Analyze,CO4,"preloaded,computer-organization-and-architecture,memory-hierarchy"
CSE / IT Core,computer-organization-and-architecture,Computer Organization and Architecture,B.Tech CSE/IT,5,I/O and Multiprocessors,I/O and Multiprocessors,"Which description best matches ""DMA""?",A cache property describing how many locations can hold a given memory block.,Direct memory access that transfers data between I/O and memory with limited CPU intervention.,"Small, fast storage located inside or very close to the CPU.","The sequence of steps used to fetch, decode and execute an instruction.",B,1,Easy,Remember,CO5,"preloaded,computer-organization-and-architecture,i-o-and-multiprocessors"
CSE / IT Core,computer-organization-and-architecture,Computer Organization and Architecture,B.Tech CSE/IT,5,I/O and Multiprocessors,I/O and Multiprocessors,"Which term is best described as: ""A signal that causes the CPU to suspend normal flow and execute a handler.""",DMA,Interrupt,Two's complement,Multicore processor,B,1,Medium,Understand,CO5,"preloaded,computer-organization-and-architecture,i-o-and-multiprocessors"
CSE / IT Core,computer-organization-and-architecture,Computer Organization and Architecture,B.Tech CSE/IT,5,I/O and Multiprocessors,I/O and Multiprocessors,"In Computer Organization and Architecture, what does ""Multicore processor""?",Small fast memory that stores recently or frequently used data.,Direct memory access that transfers data between I/O and memory with limited CPU intervention.,A processor package containing multiple execution cores.,A signal that causes the CPU to suspend normal flow and execute a handler.,C,1,Hard,Analyze,CO5,"preloaded,computer-organization-and-architecture,i-o-and-multiprocessors"
CSE / IT Core,discrete-mathematics,Discrete Mathematics,B.Tech CSE/IT,1,Logic and Proof,Logic and Proof,"Which description best matches ""Proposition""?","A set with an associative binary operation, identity and inverses, closed under the operation.",A declarative statement that is either true or false.,A path that uses every edge exactly once.,A selection of objects where order does not matter.,B,1,Easy,Remember,CO1,"preloaded,discrete-mathematics,logic-and-proof"
CSE / IT Core,discrete-mathematics,Discrete Mathematics,B.Tech CSE/IT,1,Logic and Proof,Logic and Proof,"Which term is best described as: ""For P implies Q, the logically equivalent statement not Q implies not P.""",Permutation,Group,Contrapositive,Ring,C,1,Medium,Understand,CO1,"preloaded,discrete-mathematics,logic-and-proof"
CSE / IT Core,discrete-mathematics,Discrete Mathematics,B.Tech CSE/IT,1,Logic and Proof,Logic and Proof,"In Discrete Mathematics, what does ""Mathematical induction""?","A set with an associative binary operation, identity and inverses, closed under the operation.",A proof technique establishing a base case and an inductive step.,"For P implies Q, the logically equivalent statement not Q implies not P.",A well-defined collection of distinct objects.,B,1,Hard,Analyze,CO1,"preloaded,discrete-mathematics,logic-and-proof"
CSE / IT Core,discrete-mathematics,Discrete Mathematics,B.Tech CSE/IT,2,Sets and Relations,Sets and Relations,"Which description best matches ""Set""?",A connected acyclic subgraph containing all vertices of a connected graph.,"A relation that is reflexive, antisymmetric and transitive.",A well-defined collection of distinct objects.,"A relation that is reflexive, symmetric and transitive.",C,1,Easy,Remember,CO2,"preloaded,discrete-mathematics,sets-and-relations"
CSE / IT Core,discrete-mathematics,Discrete Mathematics,B.Tech CSE/IT,2,Sets and Relations,Sets and Relations,"Which term is best described as: ""A relation that is reflexive, symmetric and transitive.""",Spanning tree,Hamiltonian cycle,Equivalence relation,Mathematical induction,C,1,Medium,Understand,CO2,"preloaded,discrete-mathematics,sets-and-relations"
CSE / IT Core,discrete-mathematics,Discrete Mathematics,B.Tech CSE/IT,2,Sets and Relations,Sets and Relations,"In Discrete Mathematics, what does ""Partial order""?","If more objects than containers are distributed among them, at least one container holds multiple objects.","A relation that is reflexive, antisymmetric and transitive.",An algebraic structure with addition and multiplication satisfying ring axioms.,A well-defined collection of distinct objects.,B,1,Hard,Analyze,CO2,"preloaded,discrete-mathematics,sets-and-relations"
CSE / IT Core,discrete-mathematics,Discrete Mathematics,B.Tech CSE/IT,3,Combinatorics,Combinatorics,"Which description best matches ""Permutation""?",A cycle that visits every vertex exactly once and returns to the start.,"If more objects than containers are distributed among them, at least one container holds multiple objects.",A declarative statement that is either true or false.,An ordered arrangement of objects.,D,1,Easy,Remember,CO3,"preloaded,discrete-mathematics,combinatorics"
CSE / IT Core,discrete-mathematics,Discrete Mathematics,B.Tech CSE/IT,3,Combinatorics,Combinatorics,"Which term is best described as: ""A selection of objects where order does not matter.""",Spanning tree,Contrapositive,Group,Combination,D,1,Medium,Understand,CO3,"preloaded,discrete-mathematics,combinatorics"
CSE / IT Core,discrete-mathematics,Discrete Mathematics,B.Tech CSE/IT,3,Combinatorics,Combinatorics,"In Discrete Mathematics, what does ""Pigeonhole principle""?","A relation that is reflexive, symmetric and transitive.","If more objects than containers are distributed among them, at least one container holds multiple objects.",A proof technique establishing a base case and an inductive step.,"For P implies Q, the logically equivalent statement not Q implies not P.",B,1,Hard,Analyze,CO3,"preloaded,discrete-mathematics,combinatorics"
CSE / IT Core,discrete-mathematics,Discrete Mathematics,B.Tech CSE/IT,4,Graph Theory,Graph Theory,"Which description best matches ""Euler path""?","If more objects than containers are distributed among them, at least one container holds multiple objects.",A path that uses every edge exactly once.,"An algebraic system with operations such as AND, OR and complement.",An algebraic structure with addition and multiplication satisfying ring axioms.,B,1,Easy,Remember,CO4,"preloaded,discrete-mathematics,graph-theory"
CSE / IT Core,discrete-mathematics,Discrete Mathematics,B.Tech CSE/IT,4,Graph Theory,Graph Theory,"Which term is best described as: ""A cycle that visits every vertex exactly once and returns to the start.""",Hamiltonian cycle,Equivalence relation,Partial order,Proposition,A,1,Medium,Understand,CO4,"preloaded,discrete-mathematics,graph-theory"
CSE / IT Core,discrete-mathematics,Discrete Mathematics,B.Tech CSE/IT,4,Graph Theory,Graph Theory,"In Discrete Mathematics, what does ""Spanning tree""?",A connected acyclic subgraph containing all vertices of a connected graph.,"An algebraic system with operations such as AND, OR and complement.",A path that uses every edge exactly once.,A cycle that visits every vertex exactly once and returns to the start.,A,1,Hard,Analyze,CO4,"preloaded,discrete-mathematics,graph-theory"
CSE / IT Core,discrete-mathematics,Discrete Mathematics,B.Tech CSE/IT,5,Algebraic Structures,Algebraic Structures,"Which description best matches ""Group""?","A set with an associative binary operation, identity and inverses, closed under the operation.","A relation that is reflexive, antisymmetric and transitive.",A path that uses every edge exactly once.,"For P implies Q, the logically equivalent statement not Q implies not P.",A,1,Easy,Remember,CO5,"preloaded,discrete-mathematics,algebraic-structures"
CSE / IT Core,discrete-mathematics,Discrete Mathematics,B.Tech CSE/IT,5,Algebraic Structures,Algebraic Structures,"Which term is best described as: ""An algebraic structure with addition and multiplication satisfying ring axioms.""",Boolean algebra,Contrapositive,Ring,Proposition,C,1,Medium,Understand,CO5,"preloaded,discrete-mathematics,algebraic-structures"
CSE / IT Core,discrete-mathematics,Discrete Mathematics,B.Tech CSE/IT,5,Algebraic Structures,Algebraic Structures,"In Discrete Mathematics, what does ""Boolean algebra""?","An algebraic system with operations such as AND, OR and complement.","If more objects than containers are distributed among them, at least one container holds multiple objects.","A relation that is reflexive, antisymmetric and transitive.",An ordered arrangement of objects.,A,1,Hard,Analyze,CO5,"preloaded,discrete-mathematics,algebraic-structures"
CSE / IT Core,theory-of-computation,Theory of Computation,B.Tech CSE/IT,1,Finite Automata,Finite Automata,"Which description best matches ""DFA""?",A language recognized by a finite automaton.,A finite automaton that may have multiple possible next states for a state-symbol pair.,A language for which some Turing machine halts on every input and decides membership.,A finite automaton with exactly one transition for each state-symbol pair.,D,1,Easy,Remember,CO1,"preloaded,theory-of-computation,finite-automata"
CSE / IT Core,theory-of-computation,Theory of Computation,B.Tech CSE/IT,1,Finite Automata,Finite Automata,"Which term is best described as: ""A finite automaton that may have multiple possible next states for a state-symbol pair.""",NFA,Decidable language,Context-free grammar,Recognizer,A,1,Medium,Understand,CO1,"preloaded,theory-of-computation,finite-automata"
CSE / IT Core,theory-of-computation,Theory of Computation,B.Tech CSE/IT,1,Finite Automata,Finite Automata,"In Theory of Computation, what does ""Regular language""?",A machine that accepts members of a language but may not halt on nonmembers.,A language recognized by a finite automaton.,"An automaton with a stack, equivalent in expressive power to context-free grammars.",A property used mainly to prove that certain languages are not regular.,B,1,Hard,Analyze,CO1,"preloaded,theory-of-computation,finite-automata"
CSE / IT Core,theory-of-computation,Theory of Computation,B.Tech CSE/IT,2,Regular Expressions,Regular Expressions,"Which description best matches ""Regular expression""?",A property used mainly to prove that certain languages are not regular.,An algebraic notation for describing regular languages.,A grammar for which some string has more than one distinct parse tree.,A decision problem for which no algorithm can always halt and return the correct answer.,B,1,Easy,Remember,CO2,"preloaded,theory-of-computation,regular-expressions"
CSE / IT Core,theory-of-computation,Theory of Computation,B.Tech CSE/IT,2,Regular Expressions,Regular Expressions,"Which term is best described as: ""An operation denoting zero or more concatenations of strings from a language.""",Kleene star,Ambiguous grammar,Recognizer,Pushdown automaton,A,1,Medium,Understand,CO2,"preloaded,theory-of-computation,regular-expressions"
CSE / IT Core,theory-of-computation,Theory of Computation,B.Tech CSE/IT,2,Regular Expressions,Regular Expressions,"In Theory of Computation, what does ""Pumping lemma for regular languages""?","An automaton with a stack, equivalent in expressive power to context-free grammars.",A property used mainly to prove that certain languages are not regular.,A decision problem for which no algorithm can always halt and return the correct answer.,An operation denoting zero or more concatenations of strings from a language.,B,1,Hard,Analyze,CO2,"preloaded,theory-of-computation,regular-expressions"
CSE / IT Core,theory-of-computation,Theory of Computation,B.Tech CSE/IT,3,Context-Free Grammars,Context-Free Grammars,"Which description best matches ""Context-free grammar""?",An algebraic notation for describing regular languages.,The problem of deciding whether an arbitrary program halts on a given input.,A grammar whose productions have a single nonterminal on the left side.,A transformation showing that solving one problem would allow another problem to be solved.,C,1,Easy,Remember,CO3,"preloaded,theory-of-computation,context-free-grammars"
CSE / IT Core,theory-of-computation,Theory of Computation,B.Tech CSE/IT,3,Context-Free Grammars,Context-Free Grammars,"Which term is best described as: ""An automaton with a stack, equivalent in expressive power to context-free grammars.""",DFA,Decidable language,Pushdown automaton,Pumping lemma for regular languages,C,1,Medium,Understand,CO3,"preloaded,theory-of-computation,context-free-grammars"
CSE / IT Core,theory-of-computation,Theory of Computation,B.Tech CSE/IT,3,Context-Free Grammars,Context-Free Grammars,"In Theory of Computation, what does ""Ambiguous grammar""?",A finite automaton with exactly one transition for each state-symbol pair.,A grammar whose productions have a single nonterminal on the left side.,A grammar for which some string has more than one distinct parse tree.,A language recognized by a finite automaton.,C,1,Hard,Analyze,CO3,"preloaded,theory-of-computation,context-free-grammars"
CSE / IT Core,theory-of-computation,Theory of Computation,B.Tech CSE/IT,4,Turing Machines,Turing Machines,"Which description best matches ""Turing machine""?",A grammar for which some string has more than one distinct parse tree.,A language for which some Turing machine halts on every input and decides membership.,An abstract computational model with a finite control and an unbounded tape.,The problem of deciding whether an arbitrary program halts on a given input.,C,1,Easy,Remember,CO4,"preloaded,theory-of-computation,turing-machines"
CSE / IT Core,theory-of-computation,Theory of Computation,B.Tech CSE/IT,4,Turing Machines,Turing Machines,"Which term is best described as: ""A language for which some Turing machine halts on every input and decides membership.""",NFA,Decidable language,Kleene star,Recognizer,B,1,Medium,Understand,CO4,"preloaded,theory-of-computation,turing-machines"
CSE / IT Core,theory-of-computation,Theory of Computation,B.Tech CSE/IT,4,Turing Machines,Turing Machines,"In Theory of Computation, what does ""Recognizer""?",The problem of deciding whether an arbitrary program halts on a given input.,"An automaton with a stack, equivalent in expressive power to context-free grammars.",A machine that accepts members of a language but may not halt on nonmembers.,A finite automaton that may have multiple possible next states for a state-symbol pair.,C,1,Hard,Analyze,CO4,"preloaded,theory-of-computation,turing-machines"
CSE / IT Core,theory-of-computation,Theory of Computation,B.Tech CSE/IT,5,Computability,Computability,"Which description best matches ""Halting problem""?",An abstract computational model with a finite control and an unbounded tape.,A finite automaton that may have multiple possible next states for a state-symbol pair.,The problem of deciding whether an arbitrary program halts on a given input.,A language for which some Turing machine halts on every input and decides membership.,C,1,Easy,Remember,CO5,"preloaded,theory-of-computation,computability"
CSE / IT Core,theory-of-computation,Theory of Computation,B.Tech CSE/IT,5,Computability,Computability,"Which term is best described as: ""A transformation showing that solving one problem would allow another problem to be solved.""",Reduction,NFA,Pushdown automaton,Recognizer,A,1,Medium,Understand,CO5,"preloaded,theory-of-computation,computability"
CSE / IT Core,theory-of-computation,Theory of Computation,B.Tech CSE/IT,5,Computability,Computability,"In Theory of Computation, what does ""Undecidable problem""?",A grammar whose productions have a single nonterminal on the left side.,The problem of deciding whether an arbitrary program halts on a given input.,A transformation showing that solving one problem would allow another problem to be solved.,A decision problem for which no algorithm can always halt and return the correct answer.,D,1,Hard,Analyze,CO5,"preloaded,theory-of-computation,computability"
CSE / IT Core,compiler-design,Compiler Design,B.Tech CSE/IT,1,Lexical Analysis,Lexical Analysis,"Which description best matches ""Token""?",A tree representation of the grammatical derivation of an input.,"A structure storing information about identifiers such as names, types and scope.",A top-down parser that reads input left-to-right and constructs a leftmost derivation.,A categorized unit produced by lexical analysis.,D,1,Easy,Remember,CO1,"preloaded,compiler-design,lexical-analysis"
CSE / IT Core,compiler-design,Compiler Design,B.Tech CSE/IT,1,Lexical Analysis,Lexical Analysis,"Which term is best described as: ""The actual character sequence in source code matching a token pattern.""",Basic block,Lexeme,Scope analysis,Parse tree,B,1,Medium,Understand,CO1,"preloaded,compiler-design,lexical-analysis"
CSE / IT Core,compiler-design,Compiler Design,B.Tech CSE/IT,1,Lexical Analysis,Lexical Analysis,"In Compiler Design, what does ""Lexer""?",A top-down parser that reads input left-to-right and constructs a leftmost derivation.,A categorized unit produced by lexical analysis.,"A structure storing information about identifiers such as names, types and scope.",The compiler phase that converts source characters into tokens.,D,1,Hard,Analyze,CO1,"preloaded,compiler-design,lexical-analysis"
CSE / IT Core,compiler-design,Compiler Design,B.Tech CSE/IT,2,Syntax Analysis,Syntax Analysis,"Which description best matches ""Parser""?",The compiler phase that checks token sequences against grammar rules.,Machine or assembly code produced for the destination architecture.,The actual character sequence in source code matching a token pattern.,"A structure storing information about identifiers such as names, types and scope.",A,1,Easy,Remember,CO2,"preloaded,compiler-design,syntax-analysis"
CSE / IT Core,compiler-design,Compiler Design,B.Tech CSE/IT,2,Syntax Analysis,Syntax Analysis,"Which term is best described as: ""A tree representation of the grammatical derivation of an input.""",Register allocation,Parser,Parse tree,Common subexpression elimination,C,1,Medium,Understand,CO2,"preloaded,compiler-design,syntax-analysis"
CSE / IT Core,compiler-design,Compiler Design,B.Tech CSE/IT,2,Syntax Analysis,Syntax Analysis,"In Compiler Design, what does ""LL parser""?",A straight-line sequence of instructions with one entry and one exit.,A top-down parser that reads input left-to-right and constructs a leftmost derivation.,The compiler phase that converts source characters into tokens.,The compiler phase that checks token sequences against grammar rules.,B,1,Hard,Analyze,CO2,"preloaded,compiler-design,syntax-analysis"
CSE / IT Core,compiler-design,Compiler Design,B.Tech CSE/IT,3,Semantic Analysis,Semantic Analysis,"Which description best matches ""Symbol table""?",A categorized unit produced by lexical analysis.,"A structure storing information about identifiers such as names, types and scope.",The compiler phase that checks token sequences against grammar rules.,A top-down parser that reads input left-to-right and constructs a leftmost derivation.,B,1,Easy,Remember,CO3,"preloaded,compiler-design,semantic-analysis"
CSE / IT Core,compiler-design,Compiler Design,B.Tech CSE/IT,3,Semantic Analysis,Semantic Analysis,"Which term is best described as: ""Verification that operations are applied to compatible data types.""",Basic block,Type checking,Parser,Symbol table,B,1,Medium,Understand,CO3,"preloaded,compiler-design,semantic-analysis"
CSE / IT Core,compiler-design,Compiler Design,B.Tech CSE/IT,3,Semantic Analysis,Semantic Analysis,"In Compiler Design, what does ""Scope analysis""?",A top-down parser that reads input left-to-right and constructs a leftmost derivation.,An optimization that avoids recomputing an expression whose value is already available.,Determination of which declaration each identifier use refers to.,Choosing target-machine instructions to implement intermediate operations.,C,1,Hard,Analyze,CO3,"preloaded,compiler-design,semantic-analysis"
CSE / IT Core,compiler-design,Compiler Design,B.Tech CSE/IT,4,Intermediate Code and Optimization,Intermediate Code and Optimization,"Which description best matches ""Three-address code""?",A tree representation of the grammatical derivation of an input.,An intermediate representation in which instructions typically have at most three addresses.,An optimization that avoids recomputing an expression whose value is already available.,Choosing target-machine instructions to implement intermediate operations.,B,1,Easy,Remember,CO4,"preloaded,compiler-design,intermediate-code-and-optimization"
CSE / IT Core,compiler-design,Compiler Design,B.Tech CSE/IT,4,Intermediate Code and Optimization,Intermediate Code and Optimization,"Which term is best described as: ""A straight-line sequence of instructions with one entry and one exit.""",Scope analysis,Symbol table,Basic block,Token,C,1,Medium,Understand,CO4,"preloaded,compiler-design,intermediate-code-and-optimization"
CSE / IT Core,compiler-design,Compiler Design,B.Tech CSE/IT,4,Intermediate Code and Optimization,Intermediate Code and Optimization,"In Compiler Design, what does ""Common subexpression elimination""?",An intermediate representation in which instructions typically have at most three addresses.,A tree representation of the grammatical derivation of an input.,The compiler phase that converts source characters into tokens.,An optimization that avoids recomputing an expression whose value is already available.,D,1,Hard,Analyze,CO4,"preloaded,compiler-design,intermediate-code-and-optimization"
CSE / IT Core,compiler-design,Compiler Design,B.Tech CSE/IT,5,Code Generation,Code Generation,"Which description best matches ""Register allocation""?",Assignment of program values to a limited set of machine registers.,An optimization that avoids recomputing an expression whose value is already available.,A tree representation of the grammatical derivation of an input.,A categorized unit produced by lexical analysis.,A,1,Easy,Remember,CO5,"preloaded,compiler-design,code-generation"
CSE / IT Core,compiler-design,Compiler Design,B.Tech CSE/IT,5,Code Generation,Code Generation,"Which term is best described as: ""Machine or assembly code produced for the destination architecture.""",Target code,Symbol table,Lexer,Scope analysis,A,1,Medium,Understand,CO5,"preloaded,compiler-design,code-generation"
CSE / IT Core,compiler-design,Compiler Design,B.Tech CSE/IT,5,Code Generation,Code Generation,"In Compiler Design, what does ""Instruction selection""?",Verification that operations are applied to compatible data types.,The actual character sequence in source code matching a token pattern.,A categorized unit produced by lexical analysis.,Choosing target-machine instructions to implement intermediate operations.,D,1,Hard,Analyze,CO5,"preloaded,compiler-design,code-generation"
CSE / IT Core,web-technology,Web Technology,B.Tech CSE/IT,1,HTML and Web Foundations,HTML and Web Foundations,"Which description best matches ""HTML""?",A markup language used to structure web documents.,A style-sheet language used to control presentation of web content.,A programming interface representing an HTML document as objects.,A lightweight text format for structured data exchange.,A,1,Easy,Remember,CO1,"preloaded,web-technology,html-and-web-foundations"
CSE / IT Core,web-technology,Web Technology,B.Tech CSE/IT,1,HTML and Web Foundations,HTML and Web Foundations,"Which term is best described as: ""A uniform resource locator identifying the location of a resource.""",URL,DOM,CSS,Event,A,1,Medium,Understand,CO1,"preloaded,web-technology,html-and-web-foundations"
CSE / IT Core,web-technology,Web Technology,B.Tech CSE/IT,1,HTML and Web Foundations,HTML and Web Foundations,"In Web Technology, what does ""Semantic element""?",An HTML element whose name conveys the meaning of its content.,A vulnerability in which untrusted script content executes in a user's browser.,A lightweight text format for structured data exchange.,A style-sheet language used to control presentation of web content.,A,1,Hard,Analyze,CO1,"preloaded,web-technology,html-and-web-foundations"
CSE / IT Core,web-technology,Web Technology,B.Tech CSE/IT,2,CSS and Responsive Design,CSS and Responsive Design,"Which description best matches ""CSS""?",A lightweight text format for structured data exchange.,A style-sheet language used to control presentation of web content.,An HTML element whose name conveys the meaning of its content.,A JavaScript object representing eventual completion or failure of an asynchronous operation.,B,1,Easy,Remember,CO2,"preloaded,web-technology,css-and-responsive-design"
CSE / IT Core,web-technology,Web Technology,B.Tech CSE/IT,2,CSS and Responsive Design,CSS and Responsive Design,"Which term is best described as: ""A CSS feature that applies styles based on device or viewport characteristics.""",Promise,JSON,Flexbox,Media query,D,1,Medium,Understand,CO2,"preloaded,web-technology,css-and-responsive-design"
CSE / IT Core,web-technology,Web Technology,B.Tech CSE/IT,2,CSS and Responsive Design,CSS and Responsive Design,"In Web Technology, what does ""Flexbox""?",An architectural style that models application data as resources manipulated with standard HTTP semantics.,A one-dimensional CSS layout model for arranging items along rows or columns.,An HTML element whose name conveys the meaning of its content.,An attack that tricks an authenticated browser into sending an unintended request.,B,1,Hard,Analyze,CO2,"preloaded,web-technology,css-and-responsive-design"
CSE / IT Core,web-technology,Web Technology,B.Tech CSE/IT,3,JavaScript,JavaScript,"Which description best matches ""DOM""?",A uniform resource locator identifying the location of a resource.,An architectural style that models application data as resources manipulated with standard HTTP semantics.,A programming interface representing an HTML document as objects.,A CSS feature that applies styles based on device or viewport characteristics.,C,1,Easy,Remember,CO3,"preloaded,web-technology,javascript"
CSE / IT Core,web-technology,Web Technology,B.Tech CSE/IT,3,JavaScript,JavaScript,"Which term is best described as: ""A browser occurrence such as a click or key press that code can handle.""",HTTPS,Event,XSS,Semantic element,B,1,Medium,Understand,CO3,"preloaded,web-technology,javascript"
CSE / IT Core,web-technology,Web Technology,B.Tech CSE/IT,3,JavaScript,JavaScript,"In Web Technology, what does ""Promise""?",A client message asking a server to perform an operation on a resource.,An HTML element whose name conveys the meaning of its content.,A lightweight text format for structured data exchange.,A JavaScript object representing eventual completion or failure of an asynchronous operation.,D,1,Hard,Analyze,CO3,"preloaded,web-technology,javascript"
CSE / IT Core,web-technology,Web Technology,B.Tech CSE/IT,4,HTTP and APIs,HTTP and APIs,"Which description best matches ""HTTP request""?",A programming interface representing an HTML document as objects.,A style-sheet language used to control presentation of web content.,An attack that tricks an authenticated browser into sending an unintended request.,A client message asking a server to perform an operation on a resource.,D,1,Easy,Remember,CO4,"preloaded,web-technology,http-and-apis"
CSE / IT Core,web-technology,Web Technology,B.Tech CSE/IT,4,HTTP and APIs,HTTP and APIs,"Which term is best described as: ""An architectural style that models application data as resources manipulated with standard HTTP semantics.""",HTTPS,Flexbox,URL,REST,D,1,Medium,Understand,CO4,"preloaded,web-technology,http-and-apis"
CSE / IT Core,web-technology,Web Technology,B.Tech CSE/IT,4,HTTP and APIs,HTTP and APIs,"In Web Technology, what does ""JSON""?",A lightweight text format for structured data exchange.,A programming interface representing an HTML document as objects.,A client message asking a server to perform an operation on a resource.,HTTP carried over TLS to provide encrypted and authenticated transport.,A,1,Hard,Analyze,CO4,"preloaded,web-technology,http-and-apis"
CSE / IT Core,web-technology,Web Technology,B.Tech CSE/IT,5,Web Security and Deployment,Web Security and Deployment,"Which description best matches ""XSS""?",A vulnerability in which untrusted script content executes in a user's browser.,A style-sheet language used to control presentation of web content.,A lightweight text format for structured data exchange.,HTTP carried over TLS to provide encrypted and authenticated transport.,A,1,Easy,Remember,CO5,"preloaded,web-technology,web-security-and-deployment"
CSE / IT Core,web-technology,Web Technology,B.Tech CSE/IT,5,Web Security and Deployment,Web Security and Deployment,"Which term is best described as: ""An attack that tricks an authenticated browser into sending an unintended request.""",CSRF,JSON,Flexbox,HTTP request,A,1,Medium,Understand,CO5,"preloaded,web-technology,web-security-and-deployment"
CSE / IT Core,web-technology,Web Technology,B.Tech CSE/IT,5,Web Security and Deployment,Web Security and Deployment,"In Web Technology, what does ""HTTPS""?",HTTP carried over TLS to provide encrypted and authenticated transport.,A client message asking a server to perform an operation on a resource.,An attack that tricks an authenticated browser into sending an unintended request.,A uniform resource locator identifying the location of a resource.,A,1,Hard,Analyze,CO5,"preloaded,web-technology,web-security-and-deployment"
CSE / IT Core,mobile-application-development,Mobile Application Development,B.Tech CSE/IT,1,Introduction to Android,Android Platform,Android is primarily used as which kind of platform?,A desktop-only operating system,A mobile application platform,A database management system,A web browser engine,B,1,Easy,Remember,CO1,"preloaded,mobile-application-development,unit-1,paper-set-a,android-platform"
CSE / IT Core,mobile-application-development,Mobile Application Development,B.Tech CSE/IT,1,Introduction to Android,Android SDK,What is the main purpose of the Android SDK?,To provide tools and libraries for Android app development,To replace the Android operating system,To store only user passwords,To design printed circuit boards,A,1,Easy,Remember,CO1,"preloaded,mobile-application-development,unit-1,paper-set-a,android-sdk"
CSE / IT Core,mobile-application-development,Mobile Application Development,B.Tech CSE/IT,1,Introduction to Android,Android Development Tools,"In Android development, ADT stands for:",Android Data Transfer,Application Design Template,Android Development Tools,Advanced Device Testing,C,1,Easy,Remember,CO1,"preloaded,mobile-application-development,unit-1,paper-set-a,android-development-tools"
CSE / IT Core,mobile-application-development,Mobile Application Development,B.Tech CSE/IT,1,Introduction to Android,Android Virtual Device,What does an Android Virtual Device (AVD) represent?,A virtual configuration of an Android device,A physical USB cable,A cloud database table,A Java source file,A,1,Easy,Remember,CO1,"preloaded,mobile-application-development,unit-1,paper-set-a,android-virtual-device"
CSE / IT Core,mobile-application-development,Mobile Application Development,B.Tech CSE/IT,1,Introduction to Android,Emulator,Why is an Android emulator used during development?,To emulate an Android device on a computer,To compile only C programs,To permanently replace the SDK,To create database backups,A,1,Medium,Understand,CO1,"preloaded,mobile-application-development,unit-1,paper-set-a,emulator"
CSE / IT Core,mobile-application-development,Mobile Application Development,B.Tech CSE/IT,1,Introduction to Android,Dalvik Virtual Machine,What was the primary role of the Dalvik Virtual Machine in Android?,To execute Android application bytecode,To design XML layouts,To manage only Wi-Fi settings,To create APK icons,A,1,Medium,Understand,CO1,"preloaded,mobile-application-development,unit-1,paper-set-a,dalvik-virtual-machine"
CSE / IT Core,mobile-application-development,Mobile Application Development,B.Tech CSE/IT,1,Introduction to Android,JVM vs DVM,Which statement correctly distinguishes the traditional JVM and Dalvik VM?,JVM is register-based while Dalvik is stack-based,JVM is stack-based while Dalvik is register-based,Both can execute only native machine code,Dalvik is used only for web pages,B,1,Hard,Analyze,CO1,"preloaded,mobile-application-development,unit-1,paper-set-a,jvm-vs-dvm"
CSE / IT Core,mobile-application-development,Mobile Application Development,B.Tech CSE/IT,1,Introduction to Android,Android Studio and SDK Setup,"Before running an Android project in Android Studio, which setup is essential?",Configure the required Android SDK,Install a spreadsheet program,Disable all build tools,Remove the project resources,A,1,Medium,Understand,CO1,"preloaded,mobile-application-development,unit-1,paper-set-a,android-studio-and-sdk-setup"
CSE / IT Core,mobile-application-development,Mobile Application Development,B.Tech CSE/IT,1,Introduction to Android,Project Structure,Which project area normally contains Android application resources such as layouts and images?,res,bin-only,temp,docs,A,1,Medium,Understand,CO1,"preloaded,mobile-application-development,unit-1,paper-set-a,project-structure"
CSE / IT Core,mobile-application-development,Mobile Application Development,B.Tech CSE/IT,1,Introduction to Android,Running Applications,"To test an Android application from Android Studio, the developer normally needs:",An emulator or connected Android device,Only a PDF reader,A printer driver,A database server on the Internet,A,1,Easy,Remember,CO1,"preloaded,mobile-application-development,unit-1,paper-set-a,running-applications"
CSE / IT Core,mobile-application-development,Mobile Application Development,B.Tech CSE/IT,1,Introduction to Android,Android Architecture,Which layer is at the base of the traditional Android software stack?,Linux Kernel,Application Widgets,Android Studio,Google Play listing,A,1,Medium,Understand,CO1,"preloaded,mobile-application-development,unit-1,paper-set-b,android-architecture"
